name|1st Serve %|1st Serve Won %|2nd Serve Won %|1st Serve Effectiveness|Serve Rating|Service Points Won %|Svc. In-play Pts. Won %|Points per Service Game|Pts. Lost per Svc. Game|Break Points Saved %|BPs per Svc. Game|BPs Faced per Set|BPs Faced per Match|Service Games Won %|Svc. Gms. Lost per Set|Svc. Gms. Lost per Match
Tommy Robredo|64.8|69.4|51.9|1.34|327|63.2|63.4|6.37|2.34|60.7|0.55|2.61|6.7|78.4|1.03|2.6
Marc Rosset|56.4|78.5|47.5|1.66|332|65.0|65.1|6.42|2.25|61.9|0.47|2.29|5.7|82.0|0.87|2.2
Jonas Bjorkman|57.5|70.5|49.3|1.43|313|61.5|62.2|6.54|2.52|59.5|0.61|2.86|7.4|75.4|1.16|3.0
James Blake|57.9|72.7|51.2|1.42|327|63.7|63.1|6.45|2.34|61.3|0.53|2.54|6.5|79.7|0.98|2.5
Gaston Gaudio|62.1|67.1|50.2|1.34|310|60.7|61.8|6.50|2.56|58.3|0.65|3.03|7.8|73.0|1.27|3.3
Andrei Chesnokov|58.1|65.0|48.4|1.34|298|58.1|58.6|6.70|2.81|56.8|0.72|3.37|8.4|69.0|1.46|3.6
Mikhail Youzhny|60.7|69.5|51.5|1.35|321|62.4|62.6|6.47|2.43|60.5|0.57|2.74|7.1|77.4|1.08|2.8
Aaron Krickstein|58.6|68.6|50.7|1.35|315|61.2|60.8|6.68|2.59|59.7|0.63|3.00|7.8|74.8|1.21|3.2
Kevin Anderson|64.5|77.0|52.9|1.46|359|68.4|65.4|6.18|1.95|66.0|0.39|1.99|5.2|86.7|0.68|1.8
Alberto Berasategui|73.7|63.2|48.8|1.29|314|59.4|60.7|6.58|2.67|58.1|0.67|3.18|7.7|71.8|1.33|3.2
Magnus Gustafsson|65.1|68.2|49.5|1.38|318|61.7|63.2|6.47|2.48|59.9|0.59|2.78|7.0|76.2|1.11|2.8
Nicolas Kiefer|52.7|74.8|49.3|1.52|319|62.8|62.6|6.40|2.38|60.5|0.55|2.66|6.6|78.1|1.05|2.6
Thomas Johansson|53.3|76.2|50.7|1.50|330|64.3|62.7|6.43|2.29|62.0|0.51|2.46|6.3|80.7|0.94|2.4
Kevin Curren|49.8|76.1|50.0|1.52|319|63.0|62.3|6.55|2.42|60.0|0.54|2.59|6.7|78.3|1.03|2.7
Felix Mantilla|62.3|67.1|51.6|1.30|315|61.3|61.7|6.50|2.52|59.0|0.62|2.94|7.3|74.6|1.20|3.0
Vijay Amritraj|70.8|41.2|50.0|0.82|220|43.8|43.8|5.33|3.00|25.0|0.89|4.00|8.0|33.3|3.00|6.0
Magnus Larsson|63.5|72.9|51.1|1.43|337|64.9|64.0|6.47|2.27|62.8|0.49|2.37|6.2|81.7|0.88|2.3
Guillermo Canas|57.8|71.1|50.9|1.40|319|62.6|62.6|6.38|2.39|59.9|0.58|2.74|7.0|76.9|1.10|2.8
