name|1st Srv. Return Won %|2nd Srv. Return Won %|Return Rating|Return Points Won %|Rtn. In-play Pts. Won %|Points per Return Game|Pts. Won per Rtn. Game|Break Points Won %|BPs per Return Game|BPs per Set|BPs per Match|Return Games Won %|Rtn. Gms. Won per Set|Rtn. Gms. Won per Match
Kyle Edmund|27.0|50.1|136|35.9|36.8|6.35|2.28|38.5|0.52|2.55|6.6|20.2|0.98|2.5
Derrick Rostagno|30.1|50.7|144|38.4|37.7|6.60|2.53|39.4|0.60|2.91|7.5|23.8|1.15|3.0
Jan Gunnarsson|32.0|49.2|151|38.2|40.3|6.13|2.34|44.0|0.59|2.68|6.5|25.9|1.18|2.8
Patrick McEnroe|28.6|55.4|152|39.7|41.4|6.81|2.71|41.6|0.64|3.06|7.8|26.8|1.27|3.3
Jerzy Janowicz|26.6|45.9|126|33.8|35.2|6.26|2.12|36.4|0.46|2.30|6.3|16.7|0.84|2.3
Julien Benneteau|28.6|49.8|139|37.0|38.2|6.38|2.36|39.0|0.56|2.71|7.0|21.9|1.06|2.7
Alberto Martin|31.2|50.7|149|39.1|38.6|6.46|2.53|41.9|0.61|2.87|6.9|25.6|1.20|2.9
David Prinosil|27.7|50.3|139|37.2|37.0|6.55|2.43|39.2|0.55|2.62|6.6|21.6|1.03|2.6
Javier Frana|29.0|50.6|142|37.7|36.5|6.53|2.46|40.5|0.55|2.69|7.0|22.1|1.09|2.8
Mike Bauer|50.0|40.9|204|47.4|46.6|6.33|3.00|71.4|0.58|2.33|7.0|41.7|1.67|5.0
Pedro Rebolledo|34.6|51.6|159|40.1|39.4|6.53|2.62|44.0|0.65|2.88|6.8|28.4|1.27|3.0
Victor Estrella|24.7|47.0|129|33.4|33.6|6.14|2.05|40.1|0.43|2.06|5.1|17.1|0.83|2.1
Christo Van Rensburg|31.1|49.2|141|38.5|37.4|6.61|2.55|37.6|0.62|2.99|7.7|23.3|1.12|2.9
Filippo Volandri|33.1|52.1|160|40.9|41.0|6.43|2.63|44.2|0.69|3.20|7.5|30.5|1.41|3.3
Jerome Golmard|26.3|49.8|137|36.3|37.2|6.37|2.31|40.0|0.54|2.57|6.2|21.4|1.03|2.5
Jim Grabb|28.1|47.6|131|35.6|34.7|6.43|2.29|36.4|0.52|2.52|6.4|18.9|0.92|2.3
Marc Kevin Goellner|26.8|47.6|132|35.1|35.3|6.42|2.26|38.6|0.49|2.38|6.0|18.8|0.92|2.3
Omar Camporese|29.8|48.6|144|37.2|37.6|6.38|2.37|42.7|0.53|2.53|6.4|22.4|1.08|2.7
Steve Darcis|27.7|49.4|138|36.1|37.3|6.32|2.28|40.3|0.50|2.45|6.2|20.3|0.98|2.5
Andreas Vinciguerra|28.2|49.6|143|37.2|37.6|6.35|2.36|42.5|0.55|2.61|6.4|23.2|1.11|2.7
Galo Blanco|28.0|50.0|139|37.1|37.1|6.44|2.39|39.3|0.56|2.70|6.5|22.1|1.06|2.6
Gilbert Schaller|33.0|53.9|161|41.8|42.1|6.78|2.84|43.0|0.73|3.46|8.4|31.3|1.49|3.6
Guido Pella|27.7|51.3|138|36.9|37.5|6.49|2.40|37.3|0.57|2.79|7.5|21.2|1.04|2.8
